City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,souillac,-20.5167,57.5167,75.58,94,75,4.61,MU,1703991960
300,agat village,13.3886,144.6585,86.95,77,20,24.16,GU,1703991961
301,pangai,-19.8,-174.35,78.62,78,100,16.51,TO,1703991962
302,huarmey,-10.0681,-78.1522,72.34,84,92,8.41,PE,1703991962
303,afif,23.9065,42.9172,58.64,75,3,3.76,SA,1703991963
304,brookings,44.3114,-96.7984,25.18,88,100,18.41,US,1703991709
305,saguenay,48.4168,-71.0657,22.08,88,100,11.5,CA,1703991965
306,upi,7.0258,124.1667,82.06,64,65,2.66,PH,1703991966
307,weleri,-6.9713,110.0666,92.95,72,99,3.69,ID,1703991967
308,vorgashor,67.5833,63.95,-15.27,92,100,13.04,RU,1703991967
309,lillesand,58.2488,8.3778,33.89,93,100,13.8,NO,1703991968
310,kapuskasing,49.4169,-82.4331,17.6,86,100,4.61,CA,1703991969
311,phan thiet,10.9333,108.1,86.45,54,75,7.02,VN,1703991969
312,cabo san lucas,22.8909,-109.9124,72.75,71,0,3.44,MX,1703991939
313,karlino,54.0351,15.8774,35.85,92,100,6.06,PL,1703991971
314,jining,35.405,116.5814,42.64,44,2,7.14,CN,1703991971
315,bikenibeu village,1.3673,173.1241,87.76,74,40,8.05,KI,1703991972
316,andergrove,-21.0833,149.1833,91.65,67,0,15.21,AU,1703991973
317,idri,27.5,13.2667,47.7,60,2,4.16,LY,1703991973
318,namibe,-15.1961,12.1522,68.45,81,39,5.26,AO,1703991974
319,sisimiut,66.9395,-53.6735,18.81,70,100,16.08,GL,1703991975
320,zouerate,22.7187,-12.4521,59.05,19,2,6.4,MR,1703991976
321,saynshand,44.8824,110.1163,12.04,91,99,11.3,MN,1703991977
322,berezovyy,51.6667,135.7,-0.99,61,1,2.37,RU,1703991977
323,itamaraju,-17.0392,-39.5311,73.22,90,100,1.9,BR,1703991978
324,sao felix do xingu,-6.6447,-51.995,70.54,94,99,2.68,BR,1703991979
325,kissidougou,9.1848,-10.0999,64.26,25,1,2.84,GN,1703991979
326,bowen,-20.0167,148.2333,85.82,68,3,13.18,AU,1703991980
327,dudinka,69.4058,86.1778,-2.33,99,100,11.99,RU,1703991981
328,chui,-33.6971,-53.4616,55.36,74,1,5.55,UY,1703991956
329,tashir,41.1207,44.2846,30.04,51,6,8.03,AM,1703991982
330,kupang,-10.1667,123.5833,95.58,59,20,8.05,ID,1703991983
331,igarka,67.4667,86.5833,8.04,94,99,10.58,RU,1703991984
332,soeng sang,14.4264,102.4606,76.44,60,100,5.86,TH,1703991984
333,kuhdasht,33.535,47.6061,45.07,75,0,1.74,IR,1703991985
334,el nido,11.1858,119.3956,84.04,73,55,10.49,PH,1703991986
335,port lincoln,-34.7333,135.8667,65.77,57,20,10.63,AU,1703991986
336,ardestan,33.3761,52.3694,43.23,59,26,0.4,IR,1703991988
337,port-vila,-17.7338,168.3219,85.6,79,75,5.75,VU,1703991988
338,san patricio,28.017,-97.5169,60.64,43,53,7.81,US,1703991989
339,hasaki,35.7333,140.8333,54.28,91,100,8.72,JP,1703991789
340,alaghsas,17.0187,8.0168,60.78,21,0,11.03,NE,1703991990
341,bengkulu,-3.8004,102.2655,81.66,82,86,2.59,ID,1703991991
342,nieuw amsterdam,5.8833,-55.0833,77.02,89,60,5.97,SR,1703991992
343,saudarkrokur,65.7461,-19.6394,21.83,77,100,5.75,IS,1703991993
344,naze,28.3667,129.4833,67.12,65,85,21.52,JP,1703991993
345,debre werk',10.6667,38.1667,55.09,68,54,2.42,ET,1703991994
346,nova vicosa,-17.8919,-39.3719,76.26,89,100,0.92,BR,1703991791
347,mucumpiz,8.4167,-71.1333,56.89,95,85,1.14,VE,1703991996
348,thunder bay,48.4001,-89.3168,22.98,93,100,2.3,CA,1703991821
349,zag,46.9441,99.165,-3.26,81,8,3.47,MN,1703991997
350,chunskiy,56.0815,99.6342,12.67,95,99,4.07,RU,1703991998
351,lubuklinggau,-3.3,102.8667,82.09,83,95,2.19,ID,1703991998
352,isla mujeres,21.2311,-86.731,60.85,58,5,10.67,MX,1703991999
353,mora,11.0461,14.1401,65.66,30,2,4.45,CM,1703992000
354,torghay,49.6339,63.4981,33.15,98,100,14.12,KZ,1703992001
355,tralee,52.2704,-9.7026,46.74,87,99,24.56,IE,1703992002
356,hami,42.8,93.45,23.36,66,56,5.41,CN,1703992003
357,boda,4.3189,17.4695,70.56,41,100,2.42,CF,1703992004
358,kani keli,-12.9536,45.1033,79.86,74,98,7.67,YT,1703992004
359,kudahuvadhoo,2.6708,72.8944,81.1,81,94,12.68,MV,1703992005
360,tazovsky,67.4667,78.7,-0.76,97,99,5.99,RU,1703992006
361,jiazi,22.8779,116.067,75.06,60,29,3.31,CN,1703992006
362,pacific grove,36.6177,-121.9166,56.17,90,100,4.61,US,1703992008
363,tegueste,28.5167,-16.3167,60.15,49,0,8.05,ES,1703992008
364,bhimunipatnam,17.8833,83.4333,72.91,79,75,5.46,IN,1703992010
365,taroa,8.7058,171.2275,81.9,82,98,14.05,MH,1703992011
366,tolanaro,-25.0319,46.9987,75.11,93,100,15.12,MG,1703992011
367,guarapari,-20.6667,-40.4975,78.89,92,100,14.52,BR,1703992012
368,wewak,-3.5534,143.6268,85.69,69,100,6.89,PG,1703992013
369,kotido,2.9806,34.1331,72.46,68,100,5.32,UG,1703992014
370,bodaybo,57.8506,114.1933,11.75,94,100,1.34,RU,1703992015
371,castillos,-34.1667,-53.8333,54.81,76,17,3.4,UY,1703992016
372,ola,59.5833,151.2833,-11.87,84,12,7.7,RU,1703992016
373,narvik,68.4384,17.4272,15.21,74,9,8.68,NO,1703992017
374,puerto deseado,-47.7503,-65.8938,54.25,58,0,8.25,AR,1703992018
375,roberval,48.5168,-72.2324,15.64,83,8,9.19,CA,1703992018
376,ancud,-41.8697,-73.8203,54.84,82,100,1.57,CL,1703992019
377,swan hill,-35.3378,143.5544,76.48,30,0,9.73,AU,1703992020
378,manado,1.487,124.8455,90.37,70,40,8.05,ID,1703991970
379,fort mcmurray,56.7268,-111.381,31.59,74,0,4.61,CA,1703991807
380,kizel,59.0471,57.6477,-2.6,99,100,3.47,RU,1703992022
381,eyl,7.9803,49.8164,71.11,83,4,12.68,SO,1703991468
382,leninskoye,41.7589,69.3864,29.86,59,6,5.39,KZ,1703992023
383,mogocha,53.7333,119.7667,-5.78,90,100,2.1,RU,1703992024
384,fort bragg,35.139,-79.006,39.2,76,0,4.61,US,1703992025
385,lamu,-2.2717,40.902,80.82,91,90,9.37,KE,1703992026
386,robore,-18.3333,-59.75,73.27,97,100,2.48,BO,1703991806
387,divnomorskoye,44.5011,38.1353,50.18,74,100,11.92,RU,1703991995
388,kittila,67.6647,24.8936,5.14,85,75,3.44,FI,1703992028
389,luderitz,-26.6481,15.1594,59.5,92,35,2.13,NA,1703992029
390,sinabang,2.4803,96.3801,81.52,79,100,5.37,ID,1703992030
391,kas,36.2018,29.6377,57.72,75,100,2.13,TR,1703992031
392,puerto morazan,12.8504,-87.1717,76.08,89,80,2.37,NI,1703992032
393,porto novo,6.4965,2.6036,76.59,89,4,4.03,BJ,1703992032
394,nadi,-17.8,177.4167,87.8,66,75,13.8,FJ,1703992033
395,oranjemund,-28.55,16.4333,63.57,87,0,4.79,NA,1703992034
396,aripuana,-9.1667,-60.6333,71.22,95,45,1.16,BR,1703992035
397,outjo,-20.1167,16.15,63.68,37,7,5.79,NA,1703992035
398,shemysheyka,52.892,45.3928,33.04,99,100,17.13,RU,1703992036
399,kyzyl-mazhalyk,51.1333,90.6,-1.08,86,93,1.01,RU,1703992037
400,ennis,52.8436,-8.9864,46.33,87,75,16.11,IE,1703992038
401,sijunjung,-0.6876,100.9537,81.9,81,92,1.57,ID,1703992039
402,marsa alam,25.0757,34.8918,66.67,65,0,7.25,EG,1703992039
403,san agustin de valle fertil,-30.6335,-67.4682,73.11,55,1,17.36,AR,1703992040
404,targu carbunesti,44.95,23.5167,41.49,75,73,1.28,RO,1703992041
405,salym,60.0625,71.4789,4.6,94,100,8.57,RU,1703992042
406,alofi,-19.0595,-169.9187,78.3,84,100,17.05,NU,1703992042
407,ribera,37.4984,13.2642,56.26,82,100,4.76,IT,1703992043
408,galesburg,40.9478,-90.3712,36.72,95,100,5.75,US,1703992044
409,timimoun,29.2639,0.231,56.01,35,55,6.24,DZ,1703992044
410,paracuru,-3.41,-39.0306,83.1,80,0,9.31,BR,1703992045
411,crucecita,-28.95,-58.9833,66.07,79,96,8.1,AR,1703992046
412,capitao poco,-1.7464,-47.0594,74.88,97,100,3.29,BR,1703992046
413,giado,31.9582,12.0203,50.22,52,100,8.86,LY,1703992047
414,erdenet,49.0333,104.0833,6.76,88,44,4.43,MN,1703992048
415,noumea,-22.2763,166.4572,93.18,65,41,1.57,NC,1703992048
